,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,BYU Cougars,11,10,1,0.909,27.71,7.35,,,,,4,0,,0,0,,942,718,,70,122.3,0.325,0.391,0.595,54.1,48.8,12.7,12.4,0.564,11.6,33.5,0.245
31,Brown Bears,12,5,7,0.417,-7.67,-6.3,,,,,3,3,,2,4,,850,784,,67,103.6,0.269,0.379,0.531,50.8,58.7,11.7,13.6,0.506,16,31,0.186
32,Bryant Bulldogs,12,3,9,0.25,-10.89,0.02,,,,,3,1,,0,8,,763,857,,67.7,94,0.267,0.516,0.503,48,60.2,9.6,10.7,0.468,18.3,26.1,0.198
33,Bucknell Bison,12,3,9,0.25,-11.84,-1.09,,,,,1,3,,2,4,,793,922,,68.2,96.9,0.317,0.436,0.511,48,53.9,10.3,7.6,0.471,17.3,28,0.233
34,Buffalo Bulls,11,9,2,0.818,-1.5,-6.6,,,,,4,1,,3,1,,852,785,,66.6,116.4,0.503,0.443,0.597,49.1,50.9,12,8.3,0.55,14.1,28.7,0.378
35,Butler Bulldogs,11,8,3,0.727,15.36,4.27,,1,1,,6,1,,0,2,,961,839,,72.4,118.1,0.45,0.353,0.571,54.5,56.4,10.1,9.3,0.541,13.4,39.1,0.303
36,Cal Poly Mustangs,12,5,7,0.417,-5.51,1.39,,1,1,,2,2,,3,4,,991,1032,,78.4,105.4,0.388,0.487,0.56,51.4,48.5,8.2,6.6,0.521,18.6,31.6,0.285
37,Cal State Bakersfield Roadrunners,13,5,8,0.385,-14.25,-3.34,,0,2,,4,2,,1,6,,956,1023,,72.8,101,0.487,0.291,0.521,48.2,44.4,11.3,15.4,0.46,17.3,33.6,0.362
38,Cal State Fullerton Titans,12,5,7,0.417,-2.19,2.21,,0,2,,3,2,,1,4,,1076,1016,,79.9,112.2,0.362,0.389,0.564,50.1,52.9,9.5,7.2,0.532,12.4,26.8,0.258
39,Cal State Northridge Matadors,11,6,5,0.545,-6.51,-1.61,,1,1,,4,0,,2,3,,860,868,,73.9,105.7,0.328,0.359,0.526,52.8,55.7,9.2,7,0.494,15.8,35.3,0.226
40,California Golden Bears,11,10,1,0.909,11.8,-0.81,,,,,9,0,,0,1,,909,761,,70,118,0.393,0.418,0.59,50.9,54.1,8.6,11.2,0.549,13.1,31,0.302
41,California Baptist Lancers,12,9,3,0.75,3.51,-1.07,,,,,5,0,,3,2,,906,851,,69.3,108.9,0.351,0.322,0.525,56.7,43.5,9,5.9,0.485,14.5,40.5,0.254
42,Campbell Fighting Camels,11,5,6,0.455,-7.43,5.35,,,,,4,0,,0,6,,899,874,,75.4,108.4,0.441,0.36,0.544,55,48.1,9.3,6.3,0.507,16.7,38.5,0.303
43,Canisius Golden Griffins,12,5,7,0.417,-16.69,-4.96,,0,2,,4,1,,1,6,,722,810,,63.8,94.3,0.352,0.376,0.499,50.2,53.8,6.8,7.4,0.464,18.8,31.1,0.237
44,Central Arkansas Bears,12,5,7,0.417,-4,1.7,,,,,5,1,,0,6,,910,865,,73.3,102.3,0.265,0.521,0.525,51.6,54.5,12.4,5.1,0.507,15,28.1,0.168
45,Central Conn St Blue Devils,11,6,5,0.545,-8.63,-3.85,,,,,3,1,,3,4,,871,787,,69.5,112.7,0.258,0.346,0.566,52.8,55,9.6,14,0.543,13,29.3,0.185
46,Central Michigan Chippewas,11,4,7,0.364,-15.46,-3.46,,,,,3,1,,0,5,,808,851,,70.1,104.7,0.295,0.35,0.535,49.4,60,8.4,12.6,0.503,15.9,32.6,0.215
47,Charleston Southern Buccaneers,13,8,5,0.615,-5,-7.7,,,,,6,0,,2,4,,1122,987,,75.6,114.2,0.288,0.569,0.576,53.9,64.9,5.9,8.7,0.556,15.1,32.6,0.197
48,Charlotte 49ers,12,5,7,0.417,-0.4,0.78,,,,,5,2,,0,3,,849,858,,64.7,109.3,0.359,0.438,0.549,53.3,53.9,7.7,11.7,0.523,15.6,36.1,0.239
49,Chattanooga Mocs,12,5,7,0.417,-11.36,-2.02,,,,,4,2,,1,4,,937,861,,68.7,113.6,0.294,0.54,0.569,49.4,62.1,9.9,5.4,0.539,12.4,27.9,0.22
50,Chicago State Cougars,12,2,10,0.167,-15.2,5.61,,,,,1,1,,1,9,,803,1009,,69.6,96.2,0.341,0.289,0.487,47.6,41.6,12.2,4.5,0.439,16.3,33.8,0.255
51,Cincinnati Bearcats,11,7,4,0.636,8.68,-1.32,,,,,7,1,,0,1,,831,721,,74,102.2,0.374,0.487,0.523,52.5,69.2,10,16,0.499,15.9,30.3,0.236
52,Clemson Tigers,12,9,3,0.75,17.48,2.73,,,,,7,0,,0,2,,968,791,,67.2,118.8,0.403,0.428,0.566,55.5,54.1,9,8.5,0.525,11.2,35.1,0.298
53,Cleveland State Vikings,13,4,9,0.308,-17.23,-0.73,,0,2,,3,2,,0,6,,1030,1097,,73,108.5,0.381,0.465,0.569,50.4,60.2,7.5,7.5,0.534,17.7,34.4,0.275
54,Coastal Carolina Chanticleers,12,6,6,0.5,-9.89,-4.8,,0,1,,3,0,,2,6,,875,854,,72,100.2,0.283,0.426,0.503,51.1,45.1,7.1,8.6,0.475,12.6,26,0.193
55,Colgate Raiders,11,6,5,0.545,-0.2,2.02,,,,,2,1,,1,4,,852,793,,67.6,112,0.228,0.345,0.581,49,50.2,9.1,8.6,0.559,13.4,26.7,0.171
56,College of Charleston Cougars,12,6,6,0.5,-2.07,-0.26,,,,,4,2,,0,2,,895,894,,68.7,108.5,0.43,0.411,0.527,50.4,47.7,7.9,12.1,0.479,12.1,31.6,0.312
57,Colorado Buffaloes,11,10,1,0.909,12.39,1.02,,,,,8,0,,0,1,,968,843,,70.4,123.6,0.441,0.304,0.611,54.7,56.4,9.2,10.7,0.575,11.9,34.3,0.328
58,Colorado State Rams,11,9,2,0.818,13.7,1,,,,,6,1,,1,0,,943,766,,65.3,131.3,0.374,0.497,0.683,55.7,64.8,8.2,4.5,0.654,14.8,31.7,0.302
